digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,year,filename
102,4,0,2,2,0,0,0,0,0,0,0,2,4,15,0,47,0,0,0,0,37,0,10,0,0,0,4,0,0,0,0,0,0,2,0,15,4,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,0,0,0,17,17,194,4,5,0,0,0,0,8,2,1,0,10,0,1,0,5,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,65,130,0,0,2018,BSIM.pdf
209,19,0,2,0,0,0,0,0,0,0,0,22,3,15,0,76,0,0,0,0,52,0,38,0,0,0,4,0,0,0,0,0,7,31,2,2,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,7,20,4,0,1,5,0,0,0,0,0,48,0,143,39,3,0,0,0,11,7,0,0,0,2,0,1,1,0,1,1,20,3,1,0,0,0,0,0,0,0,16,0,0,0,187,30,0,0,2018,BNGA.pdf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2018,BBSI.pdf
4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,0,2018,AGRS.pdf
42,0,0,0,0,4,0,0,0,0,0,0,1,0,13,0,27,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,96,13,12,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,93,110,0,0,2018,INPC.pdf
53,0,0,0,0,0,0,0,0,2,0,0,5,0,7,0,22,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,23,22,123,5,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,292,311,0,0,2018,PNBN.pdf
146,2,0,3,8,0,3,0,0,0,0,0,11,1,12,4,32,0,0,0,0,40,0,8,0,0,1,0,0,0,0,0,0,5,5,2,23,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,2,4,16,1,0,3,0,0,0,0,0,0,31,9,65,39,6,1,0,0,1,4,1,1,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,102,24,0,0,2018,BNII.pdf
6,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,54,7,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,2018,SDRA.pdf
135,4,0,1,0,0,0,0,0,0,0,0,0,0,15,0,31,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,87,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,228,0,0,2018,BMAS.pdf
42,3,0,2,0,0,0,0,0,0,0,0,6,0,9,0,10,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,7,34,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,51,0,0,2018,BACA.pdf
