,digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,filename,year
0,102,4,0,2,2,0,0,0,0,0,0,0,2,4,15,0,47,0,0,0,0,39,0,10,0,0,0,4,0,0,0,0,0,0,2,0,15,4,0,0,0,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,0,0,0,17,17,194,4,5,0,0,0,0,12,2,1,0,10,0,1,0,5,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,67,132,0,0,BSIM.pdf,2018
1,209,19,0,2,0,0,0,0,0,0,0,0,22,3,16,0,78,0,0,0,0,52,0,38,0,0,0,4,0,0,0,0,0,7,31,2,4,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,7,20,4,0,1,5,0,0,0,0,0,48,0,145,39,3,0,0,0,11,7,0,0,0,2,0,1,1,0,1,1,20,3,1,0,0,0,0,0,0,0,16,0,0,0,188,30,0,0,BNGA.pdf,2018
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,BBSI.pdf,2018
3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,AGRS.pdf,2018
4,42,0,0,0,0,4,0,0,0,0,0,0,1,0,13,0,27,0,0,0,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,97,13,12,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,96,112,0,0,INPC.pdf,2018
5,53,0,0,0,0,0,0,0,0,2,0,0,5,0,7,0,22,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,23,22,128,5,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,296,315,0,0,PNBN.pdf,2018
6,146,2,0,3,8,0,3,0,0,0,0,0,11,1,12,4,32,0,0,0,0,40,0,8,0,0,1,0,0,0,0,0,0,5,5,2,23,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,2,4,16,1,0,5,0,0,0,0,0,0,32,10,65,39,6,1,0,0,1,4,1,1,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,103,26,0,0,BNII.pdf,2018
7,6,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,56,7,3,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,SDRA.pdf,2018
8,135,4,0,1,0,0,0,0,0,0,0,0,0,0,15,0,33,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,87,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,230,0,0,BMAS.pdf,2018
9,44,3,0,2,0,0,0,0,0,0,0,0,6,0,9,0,10,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,7,61,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58,52,0,0,BACA.pdf,2018
10,95,9,0,0,1,2,0,0,0,0,0,0,8,0,8,1,28,0,0,0,0,26,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9,0,39,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,51,8,0,0,MEGA.pdf,2018
11,239,664,0,0,2,3,1,1,0,0,0,0,17,2,14,2,39,0,1,0,1,70,0,47,0,0,1,0,0,0,0,0,0,1,26,5,2,28,1,6,3,7,2,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,1,13,0,0,8,1,0,0,0,8,1,53,7,110,50,16,0,0,0,0,18,0,0,0,1,3,0,0,0,1,1,0,3,2,0,0,1,0,0,0,1,1,0,0,0,270,10,0,1,BBRI.pdf,2018
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,MASB.pdf,2018
13,58,12,0,8,1,5,0,0,0,0,0,0,4,0,15,0,42,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,20,39,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,51,68,0,0,BABP.pdf,2018
14,4,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,28,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,DNAR.pdf,2018
15,184,14,0,0,4,1,1,2,0,0,0,0,7,1,19,0,40,0,1,0,0,39,0,15,0,1,0,0,0,0,0,0,0,2,4,0,4,3,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,2,1,9,0,5,0,1,1,0,0,0,29,0,81,28,8,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,196,20,0,28,BBTN.pdf,2018
16,9,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,13,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,4,0,0,BKSW.pdf,2018
17,74,1,0,1,3,0,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,69,70,0,0,MAYA.pdf,2018
18,6,0,0,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,10,77,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,0,0,ARTO.pdf,2018
